S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency,State Code,Constituency Number
10.0,KAMLESHBHAI POPATBHAI PATEL,Bhartiya Jan Parishad,933,16,949,0.08,17 - Kheda (Gujarat),6,17
11.0,IMRANBHAI VANKAWALA,Right to Recall Party,924,4,928,0.08,17 - Kheda (Gujarat),6,17
12.0,KANTIYA DASRATH HARJIVANBHAI,New India United Party,789,3,792,0.07,17 - Kheda (Gujarat),6,17
13.0,NOTA,None of the Above,18444,380,18824,1.6,17 - Kheda (Gujarat),6,17
,Total,,1164397,11451,1175848,,17 - Kheda (Gujarat),6,17
1.0,RAJPALSINH MAHENDRASINH JADAV,Bharatiya Janata Party,785830,8749,794579,70.22,18 - Panchmahal (Gujarat),6,18
2.0,GULABSINH SOMSINH CHAUHAN,Indian National Congress,279396,5841,285237,25.21,18 - Panchmahal (Gujarat),6,18
3.0,HASMUKHKUMAR GANPATSINH RATHOD,Independent,10376,23,10399,0.92,18 - Panchmahal (Gujarat),6,18
4.0,JITESHKUMAR GHANSHYAMBHAI SEVAK,Dhanwan Bharat Party,8350,39,8389,0.74,18 - Panchmahal (Gujarat),6,18
5.0,MANOJSINH RANAJITSINH RATHOD,Independent,3984,29,4013,0.35,18 - Panchmahal (Gujarat),6,18
6.0,LAXMANBHAI GALABHAI BARIYA,"Aam Janmat Party,",3108,97,3205,0.28,18 - Panchmahal (Gujarat),6,18
7.0,TASLIM MOHAMMEDRAFIK DURVESH,Independent,3051,14,3065,0.27,18 - Panchmahal (Gujarat),6,18
8.0,PANDOR KAUSHIKKUMAR SHANKARBHAI,Independent,2486,21,2507,0.22,18 - Panchmahal (Gujarat),6,18
9.0,NOTA,None of the Above,19629,474,20103,1.78,18 - Panchmahal (Gujarat),6,18
,Total,,1116210,15287,1131497,,18 - Panchmahal (Gujarat),6,18
1.0,JASWANTSINH SUMANBHAI BHABHOR,Bharatiya Janata Party,685734,2981,688715,61.59,19 - Dahod (Gujarat),6,19
2.0,DR. PRABHABEN KISHORSINH TAVIYAD,Indian National Congress,352238,2800,355038,31.75,19 - Dahod (Gujarat),6,19
3.0,MEDA DEVENDRAKUMAR LAXMANBHAI,Independent,11068,7,11075,0.99,19 - Dahod (Gujarat),6,19
4.0,BHABHOR DHULABHAI DITABHAI,Bahujan Samaj Party,8621,11,8632,0.77,19 - Dahod (Gujarat),6,19
5.0,BARIYA MANILAL HIRABHAI,Independent,6576,12,6588,0.59,19 - Dahod (Gujarat),6,19
6.0,DAMOR VESTABHAI JOKHANABHAI,Independent,4374,26,4400,0.39,19 - Dahod (Gujarat),6,19
7.0,DAMOR MANABHAI BHAVSINGBHAI,Independent,3144,29,3173,0.28,19 - Dahod (Gujarat),6,19
8.0,JAGDISHBHAI MANILAL MEDA,Bharatiya National Janata Dal,3053,9,3062,0.27,19 - Dahod (Gujarat),6,19
9.0,PASAYA NAVALSINH MULABHAI,Saath Sahakar Vikas Party,2667,6,2673,0.24,19 - Dahod (Gujarat),6,19
10.0,NOTA,None of the Above,34774,164,34938,3.12,19 - Dahod (Gujarat),6,19
,Total,,1112249,6045,1118294,,19 - Dahod (Gujarat),6,19
1.0,DR. HEMANG JOSHI,Bharatiya Janata Party,865825,7364,873189,72.04,20 - Vadodara (Gujarat),6,20
2.0,PADHIYAR JASHPALSINH MAHENDRASINH (BAPU),Indian National Congress,287570,3493,291063,24.01,20 - Vadodara (Gujarat),6,20
3.0,JADAV AMITKUMAR RAMJIBHAI,Bahujan Samaj Party,7473,56,7529,0.62,20 - Vadodara (Gujarat),6,20
4.0,RAJESH RATHOD,Independent,5416,53,5469,0.45,20 - Vadodara (Gujarat),6,20
5.0,ANILBHAI SHARMA,Hindrashtra Sangh,3436,17,3453,0.28,20 - Vadodara (Gujarat),6,20
6.0,DR. RAHUL VASUDEVBHAI VYAS,Independent,2731,21,2752,0.23,20 - Vadodara (Gujarat),6,20
7.0,PARMAR MAYURSINH ARVINDSINH,Independent,2122,86,2208,0.18,20 - Vadodara (Gujarat),6,20
8.0,NILKANTHKUMAR MANSUKHLAL MISTRI,Independent,1748,8,1756,0.14,20 - Vadodara (Gujarat),6,20
9.0,PARMAR HEMANTKUMAR ARVINDBHAI,Independent,1388,23,1411,0.12,20 - Vadodara (Gujarat),6,20
10.0,TAPAN DASGUPTA,Socialist Unity Centre Of India (COMMUNIST),1252,23,1275,0.11,20 - Vadodara (Gujarat),6,20
11.0,ATUL GAMECHI,Independent,1061,23,1084,0.09,20 - Vadodara (Gujarat),6,20
12.0,PARTHIV VIJAYKUMAR DAVE,Right to Recall Party,1052,5,1057,0.09,20 - Vadodara (Gujarat),6,20
13.0,NILESH JAGANNATH VASAIKAR,Independent,840,18,858,0.07,20 - Vadodara (Gujarat),6,20
14.0,DOSHI HARDIK BIPINBHAI,Satyawadi Rakshak Party,643,14,657,0.05,20 - Vadodara (Gujarat),6,20
15.0,NOTA,None of the Above,17823,565,18388,1.52,20 - Vadodara (Gujarat),6,20
,Total,,1200380,11769,1212149,,20 - Vadodara (Gujarat),6,20
1.0,JASHUBHAI BHILUBHAI RATHVA,Bharatiya Janata Party,791727,4862,796589,62.84,21 - Chhota Udaipur (Gujarat),6,21
2.0,SUKHRAMBHAI HARIYABHAI RATHWA,Indian National Congress,394433,3379,397812,31.38,21 - Chhota Udaipur (Gujarat),6,21
3.0,BHIL SOMABHAI GOKALBHAI,Bahujan Samaj Party,16021,72,16093,1.27,21 - Chhota Udaipur (Gujarat),6,21
4.0,RATHVA FURAKANBHAI BALJIBHAI,Malwa Congress,11091,70,11161,0.88,21 - Chhota Udaipur (Gujarat),6,21
5.0,TADVI RANCHHODBHAI,Bharatiya Bahujan Congress,8292,52,8344,0.66,21 - Chhota Udaipur (Gujarat),6,21
6.0,RATHVA MUKESHBHAI NURABHAI,Independent,8032,33,8065,0.64,21 - Chhota Udaipur (Gujarat),6,21
7.0,NOTA,None of the Above,29394,261,29655,2.34,21 - Chhota Udaipur (Gujarat),6,21
,Total,,1258990,8729,1267719,,21 - Chhota Udaipur (Gujarat),6,21
1.0,MANSUKHBHAI DHANJIBHAI VASAVA,Bharatiya Janata Party,605489,2668,608157,50.72,22 - Bharuch (Gujarat),6,22
2.0,CHAITARBHAI DAMJIBHAI VASAVA,Aam Aadmi Party,518419,4042,522461,43.58,22 - Bharuch (Gujarat),6,22
3.0,DILIPBHAI CHHOTUBHAI VASAVA,Bharat Adivasi Party,9981,33,10014,0.84,22 - Bharuch (Gujarat),6,22
4.0,SAJID YAKUB MUNSHI,Independent,9934,3,9937,0.83,22 - Bharuch (Gujarat),6,22
5.0,VASAVA CHETANBHAI KANJIBHAI,Bahujan Samaj Party,6312,12,6324,0.53,22 - Bharuch (Gujarat),6,22
6.0,NAVINBHAI BHIKHABHAI PATEL,Independent,3440,13,3453,0.29,22 - Bharuch (Gujarat),6,22
7.0,YUSUF VALI HASANALI,Independent,3245,2,3247,0.27,22 - Bharuch (Gujarat),6,22
8.0,GITABEN MANUBHAI MACHHI,Malwa Congress,2750,14,2764,0.23,22 - Bharuch (Gujarat),6,22
9.0,MITESHBHAI THAKORBHAI PADHIYAR,Independent,2451,8,2459,0.21,22 - Bharuch (Gujarat),6,22
10.0,MIRZA AABIDBEG YASINBEG,Independent,2043,7,2050,0.17,22 - Bharuch (Gujarat),6,22
11.0,ISMAIL AHMAD PATEL,Independent,1887,15,1902,0.16,22 - Bharuch (Gujarat),6,22
12.0,NARAYANBHAI LILADHARJI RAVAL,Independent,1574,9,1583,0.13,22 - Bharuch (Gujarat),6,22
13.0,DHARMESHKUMAR VISHNUBHAI VASAVA,Independent,1324,6,1330,0.11,22 - Bharuch (Gujarat),6,22
14.0,NOTA,None of the Above,23151,132,23283,1.94,22 - Bharuch (Gujarat),6,22
,Total,,1192000,6964,1198964,,22 - Bharuch (Gujarat),6,22
1.0,PARBHUBHAI NAGARBHAI VASAVA,Bharatiya Janata Party,757787,6163,763950,57.04,23 - Bardoli (Gujarat),6,23
2.0,CHAUDHARY SIDDHARTH AMARSINH,Indian National Congress,526054,7643,533697,39.85,23 - Bardoli (Gujarat),6,23
3.0,REKHABEN HARSINGBHAI CHAUDHARI,Bahujan Samaj Party,15872,272,16144,1.21,23 - Bardoli (Gujarat),6,23
4.0,NOTA,None of the Above,24762,780,25542,1.91,23 - Bardoli (Gujarat),6,23
,Total,,1324475,14858,1339333,,23 - Bardoli (Gujarat),6,23
1.0,MUKESHKUMAR CHANDRAKAANT DALAL ( Uncontested ),Bharatiya Janata Party,-,-,-,-,24 - Surat (Gujarat),6,24
,Total,,-,-,-,,24 - Surat (Gujarat),6,24
1.0,C R PATIL,Bharatiya Janata Party,1023366,7699,1031065,77.05,25 - Navsari (Gujarat),6,25
2.0,NAISHADHBHAI BHUPATBHAI DESAI,Indian National Congress,254567,2947,257514,19.24,25 - Navsari (Gujarat),6,25
3.0,MALKHAN RAMKISHOR VARMA,Bahujan Samaj Party,8076,57,8133,0.61,25 - Navsari (Gujarat),6,25
4.0,KIRIT L. SURATI,Independent,4190,21,4211,0.31,25 - Navsari (Gujarat),6,25
5.0,RAJU VARDE,Independent,3139,45,3184,0.24,25 - Navsari (Gujarat),6,25
6.0,RAMZAN MANSURI (SENIOR JOURNALIST),Log Party,2652,1,2653,0.2,25 - Navsari (Gujarat),6,25
7.0,KADIR MAHEBOOB SAIYED,Social Democratic Party Of India,2527,11,2538,0.19,25 - Navsari (Gujarat),6,25
8.0,SHEKH MOHMMAD NISHAR (MUNNABHAI GARAGE),Independent,1481,2,1483,0.11,25 - Navsari (Gujarat),6,25
9.0,DR. KANUBHAI KHADADIYA,Socialist Unity Centre Of India (COMMUNIST),1470,15,1485,0.11,25 - Navsari (Gujarat),6,25
10.0,SUMANBEN KHUSHWA (HANSIKA RAJPUT),Sardar Vallabhbhai Patel Party,1397,29,1426,0.11,25 - Navsari (Gujarat),6,25
11.0,ADVOCATE NAVINKUMAR SHANKERBHAI PATEL,Independent,1091,4,1095,0.08,25 - Navsari (Gujarat),6,25
12.0,MOHAMMAD HANIF SHAH,Garib Kalyan Party,1089,8,1097,0.08,25 - Navsari (Gujarat),6,25
13.0,CHANDANSINGH SHIVBADANSINGH THAKUR,Independent,1070,17,1087,0.08,25 - Navsari (Gujarat),6,25
14.0,KAZI AYAZ HUSNUDDIN,Independent,775,8,783,0.06,25 - Navsari (Gujarat),6,25
15.0,NOTA,None of the Above,19653,809,20462,1.53,25 - Navsari (Gujarat),6,25
,Total,,1326543,11673,1338216,,25 - Navsari (Gujarat),6,25
1.0,DHAVAL LAXMANBHAI PATEL,Bharatiya Janata Party,760935,3291,764226,56.13,26 - Valsad (Gujarat),6,26
2.0,ANANTKUMAR HASMUKHBHAI PATEL,Indian National Congress,547307,6215,553522,40.66,26 - Valsad (Gujarat),6,26
3.0,MANAKBHAI JATRUBHAI SHANKAR,Bahujan Samaj Party,7487,12,7499,0.55,26 - Valsad (Gujarat),6,26
4.0,RAMANBHAI KARSHANBHAI PATEL,Independent,6732,13,6745,0.5,26 - Valsad (Gujarat),6,26
5.0,JAYANTIBHAI KHANDUBHAI SHALUA,Viro Ke Vir Indian Party,4763,11,4774,0.35,26 - Valsad (Gujarat),6,26
6.0,CHIRAGKUMAR BHARATBHAI PATEL,Independent,3431,9,3440,0.25,26 - Valsad (Gujarat),6,26
7.0,UMESHBHAI MAGANBHAI PATEL,Bahujan Republican Socialist Party,2813,19,2832,0.21,26 - Valsad (Gujarat),6,26
8.0,NOTA,None of the Above,18169,204,18373,1.35,26 - Valsad (Gujarat),6,26
,Total,,1351637,9774,1361411,,26 - Valsad (Gujarat),6,26
1.0,VARUN CHAUDHRY,Indian National Congress,662592,1065,663657,49.28,1 - AMBALA (Haryana),7,1
2.0,BANTO KATARIA,Bharatiya Janata Party,613786,835,614621,45.64,1 - AMBALA (Haryana),7,1
3.0,PAWAN RANDHAWA,Bahujan Samaj Party,23535,48,23583,1.75,1 - AMBALA (Haryana),7,1
4.0,GURPREET SINGH,Indian National Lok Dal,8902,84,8986,0.67,1 - AMBALA (Haryana),7,1
5.0,KAMAL KUMAR BARARA,Aazad Samaj Party (Kanshi Ram),8741,13,8754,0.65,1 - AMBALA (Haryana),7,1
6.0,KIRAN PUNIA,Jannayak Janta Party,6055,37,6092,0.45,1 - AMBALA (Haryana),7,1
7.0,RAKESH KUMAR,Haryana Jansena Party,3110,1,3111,0.23,1 - AMBALA (Haryana),7,1
8.0,BALJEET SINGH,Bharatheeya Jawan Kisan Party,2459,43,2502,0.19,1 - AMBALA (Haryana),7,1
9.0,MEHAR SINGH CHALIA,Ekam Sanatan Bharat Dal,2383,14,2397,0.18,1 - AMBALA (Haryana),7,1
10.0,GULAB SINGH NARWAL,Peoples Party of India (Democratic),1683,7,1690,0.13,1 - AMBALA (Haryana),7,1
11.0,SURAJ KUMAR,Bahujan Mukti Party,1501,5,1506,0.11,1 - AMBALA (Haryana),7,1
12.0,MOHAR SINGH STATION MASTER (RETD.),Independent,1257,6,1263,0.09,1 - AMBALA (Haryana),7,1
13.0,BETA MAM CHAND RATTUWALA,Bharatiya Yuva Jan Ekta Party,1248,3,1251,0.09,1 - AMBALA (Haryana),7,1
14.0,DR. NITESH CHOPRA (HONEY),Bhartiya Shakti Chetna Party,854,3,857,0.06,1 - AMBALA (Haryana),7,1
15.0,NOTA,None of the Above,6427,25,6452,0.48,1 - AMBALA (Haryana),7,1
,Total,,1344533,2189,1346722,,1 - AMBALA (Haryana),7,1
1.0,NAVEEN JINDAL,Bharatiya Janata Party,540677,1498,542175,44.96,2 - KURUKSHETRA (Haryana),7,2
2.0,DR SUSHIL GUPTA,Aam Aadmi Party,511770,1384,513154,42.55,2 - KURUKSHETRA (Haryana),7,2
3.0,ABHAY SINGH CHAUTALA,Indian National Lok Dal,78362,346,78708,6.53,2 - KURUKSHETRA (Haryana),7,2
4.0,DEEPAK MEHRA,Bahujan Samaj Party,20864,80,20944,1.74,2 - KURUKSHETRA (Haryana),7,2
5.0,JAI KUMAR SAINI HAMIDPUR,Independent,8090,3,8093,0.67,2 - KURUKSHETRA (Haryana),7,2
6.0,PALA RAM SAINI,Jannayak Janta Party,6159,23,6182,0.51,2 - KURUKSHETRA (Haryana),7,2
7.0,SATBIR KASHYAP,Rashtriya Janshakti Party(Eklavya),3251,12,3263,0.27,2 - KURUKSHETRA (Haryana),7,2
8.0,KHAZAN SINGH SEHGAL,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),2824,35,2859,0.24,2 - KURUKSHETRA (Haryana),7,2
9.0,MAHAVIR SINGH,Ekam Sanatan Bharat Dal,2779,4,2783,0.23,2 - KURUKSHETRA (Haryana),7,2
